120.000 0. 0.
115.000 0. 0.
110.000 0. 0.
105.000 0. 0.
100.000 0. 0.
95.000 0. 0.
90.000 0. 0.
85.000 0. 0.
80.000 0. 0.
75.000 0. 0.
70.000 0. 0.
65.000 0. 0.
60.000 0. 0.
55.000 0. 0.
50.000 0. 0.
47.500 0. 0.
45.000 0. 0.
42.500 0. 0.
40.000 0. 0.
37.500 0. 0.
35.000 0. 0.
32.500 0. 0.
30.000 0. 0.
27.500 0. 0.
25.000 0. 0.
24.000 0. 0.
23.000 0. 0.
22.000 0. 0.
21.000 0. 0.
20.000 0. 0.
19.000 0. 0.
18.000 0. 0.
17.000 0. 0.
16.000 0. 0.
15.000 0. 0.
14.000 0. 0.
13.000 0. 0.
12.000 0. 0.
11.000 0. 0.
10.000 0. 0.
9.000 0.06 7.2
8.000 0.06 7.2
7.000 0.06 7.2
6.000 0.06 7.2
5.000 0. 0.
4.000 0. 0.
3.000 0. 0.
